"fl","year","stock","stock_aggregate","fw_age","ocean_age"
56,2021,"SOOS_CREEK","Puget Sound","0","2"
78,2021,"WENATCHEE_RIVER","Up Col.","0","3"
57,2021,"GREEN_RIVER","Puget Sound","0","2"
59,2021,"GREEN_RIVER","Puget Sound","0","2"
65,2021,"SKYKOMISH_RIVER","Puget Sound","0","2"
60,2021,"SOOS_CREEK","Puget Sound","0","2"
73,2021,"SOOS_CREEK","Puget Sound","0","2"
66,2021,"SOOS_CREEK","Puget Sound","0","2"
63,2021,"ABERNATHY_RIVER","Low Col.","0","2"
62,2021,"SOOS_CREEK","Puget Sound","0","2"
68,2021,"SOOS_CREEK","Puget Sound","0","3"
69,2021,"SOOS_CREEK","Puget Sound","0","3"
70,2021,"SOOS_CREEK","Puget Sound","0","2"
66,2021,"SOOS_CREEK","Puget Sound","0","2"
55,2021,"GREEN_RIVER","Puget Sound","0","2"
76,2021,"SOOS_CREEK","Puget Sound","0","3"
57,2021,"SOOS_CREEK","Puget Sound","0","2"
49,2021,"SOOS_CREEK","Puget Sound","0","2"
51,2021,"COWLITZ_HATCHERY_SPRING","Low Col.","0","2"
56,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
55,2021,"UMPQUA_SPRING","WA_OR","0","2"
54,2021,"SOOS_CREEK","Puget Sound","0","2"
60,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
60,2021,"SOOS_CREEK","Puget Sound","0","2"
63,2021,"THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE","Fraser 4.1","0","2"
64,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
73,2021,"SOOS_CREEK","Puget Sound","0","2"
66,2021,"SOOS_CREEK","Puget Sound","0","2"
65,2021,"LYON'S_FERRY","Up Col.","0","2"
71,2021,"HARRISON_RIVER","Fraser Fall","0","2"
63,2021,"ABERNATHY_RIVER","Low Col.","0","2"
55,2021,"STAVE_RIVER","Fraser Fall","0","2"
61,2021,"SOOS_CREEK","Puget Sound","0","2"
65,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
59,2021,"NOOKSACK_RIVER","Puget Sound","0","2"
62,2021,"ABERNATHY_RIVER","Low Col.","0","2"
68,2021,"HANFORD_REACH","Up Col.","0","2"
75,2021,"LITTLE_RIVER","Fraser 4.1","0","3"
61,2021,"SOOS_CREEK","Puget Sound","0","2"
64,2021,"LITTLE_RIVER","Fraser 4.1","0","2"
60,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
62,2021,"SOOS_CREEK","Puget Sound","0","2"
75,2021,"UMPQUA_SPRING","WA_OR","0","3"
51,2021,"COWICHAN_RIVER","ECVI","0","2"
70,2021,"SOOS_CREEK","Puget Sound","0","2"
58,2021,"LYON'S_FERRY","Up Col.","0","2"
81,2021,"SOOS_CREEK","Puget Sound","0","3"
82,2021,"ABERNATHY_RIVER","Low Col.","0","3"
63,2021,"COWLITZ_HATCHERY_SPRING","Low Col.","0","3"
59,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
70,2021,"SNOHOMISH_RIVER","Puget Sound","0","2"
67,2021,"CHILLIWACK_RIVER_fall","Fraser Fall","0","2"
62,2021,"ABERNATHY_RIVER","Low Col.","0","2"
68,2021,"SOOS_CREEK","Puget Sound","0","2"
69,2021,"HANFORD_REACH","Up Col.","0","3"
56,2021,"HANFORD_REACH","Up Col.","0","2"
59,2021,"LYON'S_FERRY","Up Col.","0","2"
58,2021,"EUCHRE_CREEK","WA_OR","0","2"
55,2021,"SMITH_RIVER_UMPQUA","WA_OR","0","2"
69,2021,"ABERNATHY_RIVER","Low Col.","0","2"
64,2021,"GREEN_RIVER","Puget Sound","0","2"
64,2021,"LYON'S_FERRY","Up Col.","1","2"
57,2021,"ABERNATHY_RIVER","Low Col.","0","2"
74,2021,"ABERNATHY_RIVER","Low Col.","0","2"
54,2021,"SOOS_CREEK","Puget Sound","0","2"
68,2021,"GREEN_RIVER","Puget Sound","0","2"
74,2021,"HARRISON_RIVER","Fraser Fall","0","3"
83,2021,"ABERNATHY_RIVER","Low Col.","0","3"
60,2021,"GREEN_RIVER","Puget Sound","0","2"
57,2021,"EUCHRE_CREEK","WA_OR","1","2"
